Date;Type
03/21/2016 09:23:00;Jacobs Classic
03/21/2016 12:32:00;Jacobs Classic
03/23/2016 09:36:00;Jacobs Classic
03/30/2016 08:50:00;Jacobs Classic
03/30/2016 10:30:00;Jacobs Classic
03/30/2016 13:20:01;Jacobs Classic
03/30/2016 16:02:02;Jacobs Classic
04/01/2016 09:02:00;Jacobs Classic
04/01/2016 10:50:01;Jacobs Classic
04/01/2016 12:40:00;Jacobs Classic
04/01/2016 14:50:00;Jacobs Classic
04/04/2016 09:18:01;Jacobs Classic
04/04/2016 10:45:55;Jacobs Classic
04/05/2016 14:48:00;Jacobs Classic
04/06/2016 09:16:12;Jacobs Classic
04/06/2016 10:14:30;Jacobs Classic
04/06/2016 13:05:20;Jacobs Classic
04/06/2016 15:48:33;Jacobs Classic
04/07/2016 09:15:28;Jacobs Classic
04/07/2016 10:28:54;Jacobs Classic
04/07/2016 13:28:54;Jacobs Classic
04/08/2016 08:38:06;Jacobs Classic
04/08/2016 09:44:28;Jacobs Classic
04/08/2016 16:30:11;Jacobs Classic
04/11/2016 09:35:22;Jacobs Classic
04/11/2016 15:59:00;Jacobs Classic
04/13/2016 10:01:01;Jacobs Classic
04/13/2016 13:02:55;Jacobs Classic
04/14/2016 09:49:12;Jacobs Classic
04/14/2016 14:08:28;Jacobs Classic
04/14/2016 18:07:06;Jacobs Classic
04/15/2016 09:15:10;Jacobs Classic
04/15/2016 10:39:00;Jacobs Classic
04/15/2016 17:15:00;Jacobs Classic
04/18/2016 10:19:56;Jacobs Classic
04/18/2016 13:09:52;Jacobs Classic
04/20/2016 09:12:35;Jacobs Classic
04/20/2016 12:41:36;Jacobs Classic
04/21/2016 09:32:31;Jacobs Classic
04/21/2016 12:35:12;Jacobs Classic
04/22/2016 10:04:30;Jacobs Classic
04/22/2016 11:11:22;Jacobs Classic
04/25/2016 09:19:23;Jacobs Classic
04/25/2016 12:45:36;Jacobs Classic
04/27/2016 09:22:45;Jacobs Classic
04/27/2016 11:12:20;Jacobs Classic
04/27/2016 17:15:15;Jacobs Classic
04/28/2016 09:45:56;Jacobs Classic
04/28/2016 10:40:10;Jacobs Classic
04/28/2016 15:16:15;Jacobs Classic
04/29/2016 09:21:40;Jacobs Classic
04/29/2016 10:02:38;Jacobs Classic
05/02/2016 14:15:15;Jacobs Classic
05/03/2016 16:34:44;Jacobs Classic
05/04/2016 09:10:40;Jacobs Classic
05/04/2016 10:40:41;Jacobs Classic
05/04/2016 12:40:01;Jacobs Classic
05/09/2016 09:20:02;Jacobs Classic
05/09/2016 13:29:05;Jacobs Classic
05/11/2016 10:57:54;Jacobs Classic
05/11/2016 14:26:44;Jacobs Classic
05/12/2016 10:01:00;Jacobs Classic
05/13/2016 10:02:22;Jacobs Classic
05/17/2016 09:46:00;Jacobs Classic
05/17/2016 13:34:31;Jacobs Classic
05/18/2016 10:28:32;Jacobs Classic
05/18/2016 14:10:43;Jacobs Classic
05/18/2016 17:22:44;Jacobs Classic
05/19/2016 10:31:55;Jacobs Classic
05/19/2016 16:06:51;Jacobs Classic
05/20/2016 09:31:42;Jacobs Classic
05/20/2016 12:35:13;Jacobs Classic
05/23/2016 10:09:21;San Fabio Ungesüsst
05/25/2016 10:09:22;San Fabio Ungesüsst
05/25/2016 13:01:33;San Fabio Ungesüsst
05/26/2016 15:09:34;San Fabio Ungesüsst
05/30/2016 13:38:35;Krüger Chai latte Ingwer-Zitronengras
05/30/2016 14:42:20;Krüger Chai latte Ingwer-Zitronengras
05/31/2016 12:40:21;Krüger Chai latte Ingwer-Zitronengras
05/31/2016 14:24:44;San Fabio Ungesüsst
06/01/2016 09:45:41;San Fabio Ungesüsst
06/01/2016 14:36:37;Krüger Chai latte Ingwer-Zitronengras
06/02/2016 10:13:28;Krüger Chai latte Ingwer-Zitronengras
06/02/2016 14:28:00;San Fabio Ungesüsst
06/03/2016 09:49:06;San Fabio Ungesüsst
06/03/2016 13:24:02;Krüger Chai latte Ingwer-Zitronengras
06/06/2016 09:58:21;Krüger Chai latte Ingwer-Zitronengras
06/06/2016 12:12:00;San Fabio Ungesüsst
06/08/2016 10:54:01;San Fabio Ungesüsst
06/08/2016 16:59:11;Krüger Chai latte Ingwer-Zitronengras
06/10/2016 09:24:05;San Fabio Ungesüsst
06/10/2016 13:00:51;Jacobs Classic
06/10/2016 14:35:32;Krüger Chai latte Ingwer-Zitronengras
06/13/2016 10:12:22;Jacobs Classic
06/13/2016 10:30:35;Jacobs Classic
06/15/2016 09:23:09;Jacobs Classic
06/15/2016 13:35:45;Jacobs Classic
06/16/2016 12:21:30;Jacobs Classic
06/17/2016 09:08:24;Jacobs Classic
06/17/2016 13:31:08;Krüger Chai latte Ingwer-Zitronengras
06/20/2016 09:57:59;Krüger Chai latte Honig
06/20/2016 13:09:10;Krüger Chai latte Honig
06/21/2016 15:53:50;Jacobs Classic
06/21/2016 17:07:05;Krüger Chai latte Honig
06/22/2016 09:40:32;Jacobs Classic
06/22/2016 12:37:17;Krüger Chai latte Honig
06/23/2016 10:54:26;Jacobs Classic
06/23/2016 13:12:29;Krüger Chai latte Honig
06/27/2016 09:35:40;Krüger Chai latte Honig
06/27/2016 10:25:41;Krüger Chai latte Honig
06/28/2016 17:04:59;Krüger Chai latte Honig
06/29/2016 09:25:39;Jacobs Classic
06/29/2016 13:35:32;Jacobs Classic
06/30/2016 13:35:33;Krüger Chai latte Honig
07/01/2016 09:23:25;Krüger Chai latte Classic India
08/22/2016 10:22:55;Jacobs Classic
08/22/2016 14:09:51;Krüger Chai latte Classic India
08/23/2016 08:55:50;Jacobs Classic
08/24/2016 16:46:39;Jacobs Classic
08/25/2016 09:19:23;Jacobs Classic
08/25/2016 10:48:28;Jacobs Classic
08/25/2016 15:25:08;Jacobs Classic
08/26/2016 08:53:09;Jacobs Classic
08/26/2016 12:43:21;Jacobs Classic
08/26/2016 15:33:54;Krüger Chai latte Classic India
08/26/2016 17:55:22;Krüger Chai latte Classic India
08/29/2016 09:01:21;Jacobs Classic
08/29/2016 12:03:12;Krüger Chai latte Classic India
08/31/2016 09:13:20;Jacobs Classic
08/31/2016 12:38:58;Krüger Chai latte Classic India
08/31/2016 16:23:11;Krüger Chai latte Classic India
09/01/2016 08:50:22;Jacobs Classic
09/01/2016 11:25:35;Krüger Chai latte Classic India 
09/01/2016 17:38:24;Jacobs Classic
09/02/2016 09:03:26;Jacobs Classic
09/02/2016 12:25:43;Jacobs Classic
09/05/2016 08:52:56;Jacobs Classic
09/05/2016 12:24:11;Jacobs Classic
09/05/2016 13:33:24;Jacobs Classic
09/06/2016 08:58:21;Jacobs Classic
09/06/2016 13:47:30;Jacobs Classic
09/07/2016 08:55:23;Jacobs Classic
09/07/2016 12:18:08;Jacobs Classic
09/08/2016 08:56:58;Jacobs Classic
09/08/2016 12:55:16;Jacobs Classic
09/09/2016 09:05:43;Jacobs Classic
09/09/2016 10:59:07;Jacobs Classic
09/09/2016 13:39:55;Krüger Chai latte Classic India
09/12/2016 10:39:20;Jacobs Classic
09/13/2016 09:11:07;Jacobs Classic
09/14/2016 09:17:08;Jacobs Classic
09/14/2016 12:22:14;Jacobs Classic
09/15/2016 09:14:54;Jacobs Classic
09/15/2016 12:14:13;Jacobs Classic
09/15/2016 14:53:44;Krüger Chai latte Honig
09/16/2016 09:26:00;Jacobs Classic
09/16/2016 12:21:42;Krüger Chai latte Classic India
09/16/2016 17:22:28;Krüger Chai latte Classic India
09/19/2016 09:30:54;Jacobs Classic
09/19/2016 12:21:28;Jacobs Classic
09/22/2016 09:21:02;Jacobs Classic
09/22/2016 14:25:33;Jacobs Classic
09/22/2016 17:07:14;Krüger Chai latte Classic India
09/27/2016 09:21:33;Jacobs Classic
09/27/2016 10:34:42;Jacobs Classic
09/27/2016 13:45:12;Krüger Chai latte Classic India
09/28/2016 09:11:44;Jacobs Classic
09/28/2016 10:30:05;Jacobs Classic
09/29/2016 09:20:04;Jacobs Classic
09/30/2016 09:12:05;Jacobs Classic
09/30/2016 09:12:06;Krüger Chai latte Classic India
10/04/2016 12:40:08;Jacobs Classic
10/04/2016 14:44:00;Jacobs Classic
10/05/2016 09:20:34;Jacobs Classic
10/05/2016 10:45:51;Krüger Chai latte Classic India
10/05/2016 10:45:52;Krüger Chai latte Classic India
10/05/2016 14:47:15;Krüger Chai latte Classic India
10/06/2016 09:21:54;Jacobs Classic
10/06/2016 10:39:44;Jacobs Classic
10/06/2016 13:01:45;Krüger Chai latte Classic India
10/07/2016 09:24:59;Jacobs Classic
10/07/2016 10:19:33;Jacobs Classic
10/07/2016 12:26:41;Jacobs Classic
10/07/2016 16:43:42;Krüger Chai latte Classic India
10/10/2016 09:15:55;Jacobs Classic
10/10/2016 10:06:51;Jacobs Classic
10/10/2016 13:42:32;Jacobs Classic
10/11/2016 09:10:53;Jacobs Classic
10/11/2016 10:17:56;Jacobs Classic
10/11/2016 14:55:52;Krüger Chai latte Classic India
10/12/2016 10:07:23;Jacobs Classic
10/12/2016 12:42:51;Jacobs Classic
10/13/2016 09:10:43;Jacobs Classic
10/13/2016 10:20:52;Jacobs Classic
10/14/2016 09:21:50;Jacobs Classic
10/17/2016 08:58:35;Jacobs Classic
10/18/2016 09:27:58;Jacobs Classic
10/18/2016 12:05:43;Jacobs Classic
10/18/2016 15:46:58;Krüger Chai latte Sweet India
10/19/2016 10:11:16;Jacobs Classic
10/20/2016 09:19:43;Jacobs Classic
10/20/2016 10:25:24;Jacobs Classic
10/24/2016 09:29:41;Jacobs Classic
10/24/2016 10:41:17;Jacobs Classic
10/24/2016 12:21:19;Jacobs Classic
10/25/2016 09:03:44;Jacobs Classic
10/25/2016 10:36:09;Jacobs Classic
10/25/2016 14:52:59;Krüger Chai latte Sweet India
10/26/2016 09:17:20;Jacobs Classic
10/26/2016 09:58:03;Jacobs Classic
10/27/2016 09:18:36;Jacobs Classic
10/27/2016 16:05:50;Jacobs Classic
10/28/2016 09:10:58;Jacobs Classic
10/28/2016 15:58:12;Jacobs Classic
11/01/2016 09:11:48;Jacobs Classic
11/01/2016 11:03:13;Jacobs Classic
11/01/2016 14:33:48;Krüger Chai latte Sweet India
11/02/2016 09:11:27;Jacobs Classic
11/02/2016 20:15:55;Jacobs Classic
11/03/2016 09:30:28;Jacobs Classic
11/03/2016 11:13:53;Jacobs Classic
11/07/2016 09:17:31;Jacobs Classic
11/07/2016 12:42:11;Jacobs Classic
11/08/2016 12:32:52;Jacobs Classic
11/08/2016 14:39:10;Jacobs Classic
11/09/2016 09:18:38;Jacobs Classic
11/10/2016 09:06:22;Jacobs Classic
11/10/2016 10:25:21;Jacobs Classic
11/10/2016 14:39:50;Jacobs Classic
11/11/2016 09:48:22;Jacobs Classic
11/11/2016 14:44:42;Krüger Chai latte Sweet India
